n_points,n_noise,noise_frac,n_clusters,silhouette,eps,min_samples,algorithm,ARI_vs_baseline,NMI_vs_baseline
95815,95815,1.0,0,,0.05,5,DBSCAN,0.0,0.0
95815,95815,1.0,0,,0.05,10,DBSCAN,0.0,0.0
95815,95815,1.0,0,,0.05,15,DBSCAN,0.0,0.0
95815,95815,1.0,0,,0.05,20,DBSCAN,0.0,0.0
95815,95815,1.0,0,,0.05,25,DBSCAN,0.0,0.0
95815,95815,1.0,0,,0.05,30,DBSCAN,0.0,0.0
95815,95788,0.9997182069613317,4,0.6798618493928648,0.075,5,DBSCAN,0.2707283407461027,0.2345058166781216
95815,95815,1.0,0,,0.075,10,DBSCAN,0.0,0.0
95815,95815,1.0,0,,0.075,15,DBSCAN,0.0,0.0
95815,95815,1.0,0,,0.075,20,DBSCAN,0.0,0.0
95815,95815,1.0,0,,0.075,25,DBSCAN,0.0,0.0
95815,95815,1.0,0,,0.075,30,DBSCAN,0.0,0.0
95815,95643,0.9982048739758911,25,0.6783394050904924,0.1,5,DBSCAN,0.33351706964803784,0.2660329099512785
95815,95794,0.9997808276365914,1,,0.1,10,DBSCAN,0.37462612239453713,0.337232403587036
95815,95815,1.0,0,,0.1,15,DBSCAN,0.0,0.0
95815,95815,1.0,0,,0.1,20,DBSCAN,0.0,0.0
95815,95815,1.0,0,,0.1,25,DBSCAN,0.0,0.0
95815,95815,1.0,0,,0.1,30,DBSCAN,0.0,0.0
95815,95162,0.993184783175912,80,0.5637015566871523,0.125,5,DBSCAN,0.19965274182895446,0.14663281763567074
95815,95731,0.9991233105463654,4,0.45242909235556034,0.125,10,DBSCAN,0.8225361949508991,0.7424051637333138
95815,95758,0.9994051035850336,2,0.5529119245466698,0.125,15,DBSCAN,0.7699246696836055,0.7017800116528478
95815,95792,0.9997599540781715,1,,0.125,20,DBSCAN,0.403127346283745,0.3656839089733899
95815,95815,1.0,0,,0.125,25,DBSCAN,0.0,0.0
95815,95815,1.0,0,,0.125,30,DBSCAN,0.0,0.0
