SampleID,LAP,MMT,CMC,CNF,SLK,AGR,ALG,CAR,CHS,PEC,PUL,STA,GEL,GLU,ZIN,GLY,FFA,LAC,LEV,PHA,SRB,SUA,XYL,Feasibility,TransVis,TensileStrength,TensileSED,FireRR
aTH-0101,0.0,0.0,0.0,0.1545,0.0,0.0,0.0,0.0,0.0,0.0,0.3975,0.0,0.0,0.0,0.1775,0.2705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,
aTH-0102,0.0,0.0,0.0,0.3124,0.0,0.0,0.0,0.0,0.0,0.0,0.4061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2815,0.0,0.0,0.0,0.0,True,,,,
aTH-0103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.036,0.0,0.177,0.346,0.0,0.0,0.0,0.311,0.0,0.0,0.0,False,,,,
aTH-0104,0.0,0.0,0.0,0.0,0.226,0.0,0.0,0.0,0.0,0.274,0.0,0.0,0.0,0.0,0.0,0.1085,0.0,0.0,0.2185,0.173,0.0,0.0,0.0,True,,,,
aTH-0105,0.0,0.0,0.0,0.0,0.0494,0.0,0.0,0.0,0.0558,0.0,0.0,0.0,0.0,0.0,0.2889,0.0,0.0,0.3032,0.0,0.0,0.0,0.3027,0.0,False,,,,
aTH-0106,0.0,0.0,0.0,0.0,0.0,0.4328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5672,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,
aTH-0107,0.0,0.0959,0.2417,0.0,0.0,0.0,0.245,0.0,0.0,0.0,0.0,0.0,0.0,0.3059,0.0,0.0,0.0,0.1115,0.0,0.0,0.0,0.0,0.0,False,,,,
aTH-0108,0.0,0.0,0.0,0.0,0.034,0.0,0.3651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.334,0.0,0.0,0.0,0.0,0.2243,0.0426,False,,,,
aTH-0109,0.3338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0654,0.0,0.0,0.2155,0.0,0.0,0.0,0.1114,0.0,0.2739,0.0,0.0,False,,,,
aTH-0110,0.1198,0.352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2049,0.0,0.0,0.0,0.0,0.3232,0.0,False,,,,
aTH-0111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.189,0.0,0.0,0.0,0.182,0.0,0.1164,0.0,0.0,0.106,0.0,0.0,0.0,0.0,0.4066,True,,,,
aTH-0112,0.0,0.0,0.0,0.3362,0.0,0.0,0.0,0.0,0.0,0.0,0.1335,0.0,0.0,0.0599,0.0,0.0,0.0,0.34,0.0,0.0,0.1305,0.0,0.0,False,,,,
aTH-0113,0.2254,0.2248,0.0,0.0,0.0,0.0,0.0,0.2743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2264,0.0492,0.0,0.0,0.0,0.0,0.0,True,,,,
aTH-0114,0.0,0.0,0.0,0.0809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.084,0.0,0.0,0.2934,0.0,0.3044,0.0,0.0,0.0,0.0,0.2374,False,,,,
aTH-0115,0.049,0.0,0.0,0.3936,0.0,0.0,0.1386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3693,0.0,0.0,0.0,0.0,0.0,0.0,0.0495,True,,,,
aTH-0116,0.0,0.0,0.2802,0.0,0.3584,0.189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0625,False,,,,
aTH-0117,0.2641,0.0,0.0,0.0,0.0,0.0,0.1581,0.0,0.0,0.0,0.0,0.0,0.1177,0.0,0.0,0.0,0.0,0.2616,0.0,0.0,0.0,0.0,0.1986,False,,,,
aTH-0118,0.0,0.0,0.2433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1285,0.0,0.2469,0.0,0.0,0.0,0.1929,0.0,0.0,0.0,0.0,0.1884,0.0,True,,,,
aTH-0119,0.0,0.2099,0.3147,0.093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2353,0.1471,0.0,0.0,0.0,0.0,0.0,True,66.7,5.297,0.008,0.546
aTH-0120,0.0605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3837,0.0,0.0,0.0,0.053,0.0,0.0,0.2044,0.0,0.2984,0.0,0.0,0.0,0.0,0.0,True,,,,
aTH-0121,0.0,0.3204,0.0,0.0,0.218,0.0,0.0565,0.0,0.0,0.0,0.105,0.0,0.0,0.0,0.0,0.0,0.0,0.3001,0.0,0.0,0.0,0.0,0.0,True,,,,
aTH-0122,0.0,0.1417,0.0,0.0,0.0,0.1645,0.0,0.0,0.0,0.0,0.0,0.0,0.274,0.0,0.3397,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,False,,,,
aTH-0124,0.1693,0.0,0.0,0.0,0.0,0.0,0.0,0.1546,0.0,0.0,0.0,0.0,0.0,0.5515,0.0496,0.0,0.0,0.0,0.0,0.0,0.0,0.075,0.0,False,,,,
aTH-0125,0.3981,0.0,0.0,0.0,0.3237,0.0,0.0,0.0,0.0,0.0,0.0704,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.1578,False,,,,
aTH-0126,0.0,0.0,0.0,0.0,0.0,0.0787,0.0,0.0,0.2571,0.0,0.0,0.0,0.3717,0.0,0.0,0.2647,0.0,0.0,0.0,0.0279,0.0,0.0,0.0,True,76.17,1.825,0.546,0.076
aTH-0127,0.3164,0.0,0.0,0.3762,0.0,0.0,0.0,0.0,0.0,0.0,0.113,0.0,0.0,0.0,0.0,0.1944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,
aTH-0128,0.0,0.0,0.0,0.2459,0.0,0.0,0.038,0.0,0.0,0.0,0.4669,0.0,0.2342,0.0,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,64.97,32.8,0.215,
aTH-0129,0.0,0.2651,0.0,0.2055,0.0,0.0,0.0,0.2206,0.0,0.0,0.0,0.0,0.1193,0.0,0.0,0.0,0.1895,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,
aTH-0130,0.0,0.0,0.0,0.2278,0.2344,0.1957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1406,0.0,0.0,0.0,0.2014,0.0,0.0,0.0,0.0,True,,,,
aTH-0132,0.0,0.0,0.0,0.328,0.0,0.0,0.0,0.2981,0.0,0.0,0.1445,0.0,0.0,0.0,0.2295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,
aTH-0133,0.0379,0.0,0.0,0.4196,0.0,0.0673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.0,0.0,0.0,0.0,0.4603,True,68.5,10.353,0.152,
aTH-0134,0.0493,0.0,0.0,0.0,0.0,0.0,0.0,0.555,0.0,0.0,0.0493,0.0,0.0,0.0,0.0,0.3464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,
aTH-0135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4431,0.0,0.0,0.0815,0.0,0.0,0.0,0.2704,0.205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,
aTH-0136,0.1381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1941,0.0,0.0,0.0,0.0,0.0,0.1941,0.2301,0.2436,0.0,0.0,0.0,0.0,False,,,,
aTH-0137,0.0,0.0,0.0,0.2665,0.0,0.2468,0.1435,0.0,0.0,0.0,0.2315,0.0,0.0,0.0,0.1117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,
aTH-0138,0.5125,0.0,0.0,0.0,0.0,0.0,0.0,0.0509,0.0,0.0,0.4365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,,,,
