SampleID,LAP,MMT,CMC,CNF,SLK,AGR,ALG,CAR,CHS,PEC,PUL,STA,GEL,GLU,ZIN,GLY,FFA,LAC,LEV,PHA,SRB,SUA,XYL,Detachability,FlatnessUni,Feasibility,Detachability_STD,FlatnessUni_STD,Feasibility_STD,Weight
aTS-0101,0.0,0.0,0.5021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4381,0.0,0.0,0.0297,0.0,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.015,1.0,1.0,1.0,0.0,0.0,0.0,1.6389749999999998
aTS-0102,0.2529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0639,0.0,0.2843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3076,0.0914,0.0,0.0,0.0,0.0,0.0,0.0,1.0
aTS-0103,0.0,0.0,0.0,0.015,0.0,0.0,0.0,0.1026,0.0,0.0,0.7287,0.0,0.0,0.0,0.1387,0.0,0.0,0.0,0.0,0.015,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.6389749999999998
aTS-0104,0.0,0.0225,0.0,0.0,0.0,0.0,0.015,0.0,0.3728,0.0,0.0,0.0,0.2548,0.0,0.0,0.3349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.6389749999999998
aTS-0105,0.0,0.1189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2496,0.0,0.0,0.0,0.0,0.0494,0.0,0.289,0.0,0.293,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.6389749999999998
aTS-0106,0.0254,0.0274,0.0,0.0,0.0,0.0,0.0,0.2355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0734,0.0,0.6382,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.6389749999999998
aTS-0107,0.0,0.0,0.0,0.0,0.0,0.2625,0.3415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3283,0.0527,0.015,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
aTS-0108,0.0,0.0,0.2883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2579,0.0,0.0368,0.0514,0.3657,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.6389749999999998
aTS-0109,0.034,0.0,0.0,0.5432,0.0,0.0,0.0,0.0,0.0,0.0,0.3928,0.0,0.0,0.0,0.0,0.0,0.015,0.0,0.0,0.0,0.0,0.015,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.6389749999999998
aTS-010A,0.0,0.2506,0.0,0.3219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2844,0.0,0.0,0.0,0.0,0.0,0.071,0.0721,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.6389749999999998
aTS-010B,0.0,0.0,0.0,0.0,0.0,0.4603,0.0,0.0,0.0,0.0,0.0,0.0,0.3999,0.0,0.0,0.0,0.0349,0.0,0.0899,0.0,0.0,0.0,0.015,1.0,1.0,1.0,0.0,0.0,0.0,1.6389749999999998
